"","COACH","2016-17_WIN","2016-17_LOSE","2016-17_W-L%","2016-17_AP Pre","2016-17_AP Post","2016-17_NCAA_NOTE","2017-18_WIN","2017-18_LOSE","2017-18_W-L%","2017-18_AP Pre","2017-18_AP Post","2017-18_NCAA_NOTE","SCHOOL_SINCE","SCHOOL_WIN","SCHOOL_LOSE","SCHOOL_W-L%","SCHOOL_NCAA","SCHOOL_S16","SCHOOL_FF","SCHOOL_CHAMP","CAREER_WIN","CAREER_LOSE","CAREER_W-L%","CAREER_NCAA","CAREER_S16","CAREER_FF","CAREER_CHAMP","RANK","SCHOOL","CONFERENCE","SCHOOL_PAY","TOTAL_PAY","MAX_BONUS","2017-18_BONUS","SCHOOL_BUYOUT","CAREER_TOTAL","SCHOOL_TOTAL"
"1","Andy Kennedy",22,14,0.611,NA,NA,NA,11,16,0.407,NA,NA,NA,"2006-07",245,156,0.611,2,NA,NA,NA,266,169,0.611,2,NA,NA,NA,46,"Mississippi","SEC",2050000,2050000,9e+05,25000,NA,435,401
"2","Archie Miller",24,8,0.75,NA,NA,"Lost First Round",16,15,0.516,NA,NA,NA,"2017-18",16,15,0.516,NA,NA,NA,NA,155,78,0.665,4,1,NA,NA,10,"Indiana","Big Ten",3200000,3200000,1035000,NA,20477397,233,31
"3","Avery Johnson",19,15,0.559,NA,NA,NA,20,16,0.556,NA,NA,"Lost Second Round","2015-16",57,46,0.553,1,NA,NA,NA,57,46,0.553,1,NA,NA,NA,15,"Alabama","SEC",2899497,2899497,450000,25000,9e+06,103,103
"4","Ben Howland",16,16,0.5,NA,NA,NA,25,12,0.676,NA,NA,NA,"2015-16",55,45,0.55,NA,NA,NA,NA,454,253,0.642,10,5,3,NA,44,"Mississippi State","SEC",2100000,2100000,575000,0,NA,707,100
"5","Bill Self",31,5,0.861,3,3,"Lost Regional Final",31,8,0.795,4,4,"Lost National Semifinal","2003-04",447,96,0.823,15,10,3,1,654,201,0.765,20,13,3,1,4,"Kansas","Big 12",4779877,4954877,525000,88333,16156000,855,543
"6","Billy Kennedy",16,15,0.516,NA,NA,NA,22,13,0.629,25,NA,"Lost Regional Semifinal","2011-12",137,98,0.583,2,2,NA,NA,348,277,0.557,4,2,NA,NA,31,"Texas A&M","SEC",2350000,2350000,8e+05,12000,4500000,625,235
"7","Bob Huggins",28,9,0.757,20,13,"Lost Regional Semifinal",26,11,0.703,11,15,"Lost Regional Semifinal","2007-08",255,130,0.662,9,5,1,NA,773,316,0.71,24,9,2,NA,7,"West Virginia","Big 12",3750000,3760000,640000,175000,11015000,1089,385
"8","Bobby Hurley",15,18,0.455,NA,NA,NA,20,12,0.625,NA,NA,NA,"2015-16",50,47,0.515,1,NA,NA,NA,92,67,0.579,2,NA,NA,NA,45,"Arizona State","Pac-12",2100000,2100000,1985000,150000,5950000,159,97
"9","Brad Brownell",17,16,0.515,NA,NA,NA,25,10,0.714,NA,20,"Lost Regional Semifinal","2010-11",149,113,0.569,2,1,NA,NA,316,198,0.615,5,1,NA,NA,51,"Clemson","ACC",1800000,1803324,475000,20000,1700000,514,262
"10","Brad Underwood",20,13,0.606,NA,NA,"Lost First Round",14,18,0.438,NA,NA,NA,"2017-18",14,18,0.438,NA,NA,NA,NA,123,45,0.732,4,NA,NA,NA,18,"Illinois","Big Ten",2755450,2755450,9e+05,NA,15479167,168,32
